"","ID_no_Rep_dup","LogPopBio","Time","I(Time^2)","I(Time^3)",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"1","100_1",-3.52484051029261,3.69515011547344,13.6541343758834,50.4540762157353,-3.01124322086444,-0.513597289428171,0.266941163683665,0.136074798459954,0.897968301294576,-3.14066880307478
"2","100_1",-3.08991606718426,5.54272517321021,30.7218023457381,170.282507228111,-2.95101828057674,-0.138897786607524,0.25188095111529,0.192547806189013,0.0595007206362575,-0.840773089316446
"3","100_1",-2.59109892003378,9.23787528868354,85.33833984927,788.344940870849,-2.83299437600721,0.241895455973427,0.224927012845628,0.18523827098477,0.15013761432869,1.43855093542342
"4","100_1",-2.23205990880016,23.094688221709,533.364624057944,12317.8897011073,-2.41862396416869,0.18656405536853,0.15565744889106,0.190308111831017,0.0520794248893297,1.06301029228598
"5","100_1",-1.64361026608351,47.1131639722862,2219.65021947953,104574.74475146,-1.80120900092496,0.157598734841454,0.115945278721135,0.19221474533107,0.0252509605703289,0.877570441853096
"6","100_1",-1.13344762013205,71.1316397228637,5059.71016966328,359905.480890598,-1.30275412129264,0.169306501160592,0.124596358072725,0.191541615892716,0.0319384324197408,0.947410719831337
"7","100_1",-0.74536306725392,95.150115473441,9053.54447460916,861445.802202995,-0.912876979045441,0.167513911791521,0.143271943873091,0.191540305228068,0.037536572328137,0.94754145582186
"8","100_1",-0.523385566601553,118.24480369515,13981.8336009046,1653279.16943721,-0.630723539870024,0.107337973268471,0.153476828370019,0.194296689777397,0.0169102322940647,0.610805304081175
"9","100_1",-0.376135036703001,143.187066974596,20502.5361487874,2935698.0166855,-0.417326521801209,0.0411914850982076,0.150820855005725,0.195949806597142,0.00243195388785957,0.234032743808675
"10","100_1",-0.375202501934371,167.205542725173,27957.6935180196,4674681.31802453,-0.290888514351593,-0.0843139875827783,0.138003292404921,0.19506195848158,0.00904805370224456,-0.475461832783245
"11","100_1",-0.401785972196305,191.22401847575,36566.625242014,6992417.02087471,-0.231498859381914,-0.170287112814391,0.121926624376568,0.191501050035971,0.0314252089174643,-0.951448338007758
"12","100_1",-0.441458517292731,215.242494226328,46329.3313207708,9972040.82932066,-0.228775210665877,-0.212683306626854,0.109533198029803,0.188905279809226,0.0428208009666295,-1.18003087732352
"13","100_1",-0.436329149794986,239.260969976905,57245.8117542894,13696688.4474466,-0.272335221977192,-0.163993927817794,0.105608664743745,0.191929146690044,0.024331988237258,-0.90788911732026
"14","100_1",-0.431225958497912,263.279445727483,69316.0665425707,18249495.5793373,-0.351796547089562,-0.0794294114083497,0.111470902411273,0.195225146203765,0.00610461912933272,-0.441178511553937
"15","100_1",-0.476393206267174,287.29792147806,82540.0956856135,23713597.929077,-0.45677683977669,-0.0196163664904835,0.124698892039628,0.196170610398622,0.000429202703511928,-0.109776318450761
"16","100_1",-0.541911997077224,310.392609699769,96343.5721562331,29904332.7893712,-0.572119505561644,0.0302075084844203,0.139360532038291,0.196082709659007,0.00117653477439891,0.170479872164141
"17","100_1",-0.672756038341508,335.334872979215,112449.477035986,37708231.0984416,-0.701764942970049,0.0290089046285414,0.150526506880953,0.196092571686306,0.00120296684369739,0.164787873142514
"18","100_1",-0.703317273819303,359.353348729792,129134.829243316,46405033.3262353,-0.821008061023687,0.117690787204384,0.151708860081108,0.193907725692163,0.0200116867277028,0.669019592434278
"19","100_1",-0.815940436968373,382.448036951501,146266.500968057,55939336.1669981,-0.920691850078534,0.104751413110161,0.144519460560862,0.19440870885649,0.0148492158514078,0.592957623712686
"20","100_1",-0.857499061812769,407.390300230947,165966.856722261,67613287.5884685,-1.00108069891342,0.143581637100651,0.139095539460615,0.192813299044602,0.0265142145202406,0.81019630078352
"21","100_1",-0.941107293639364,431.408775981524,186113.531993877,80291011.0310766,-1.04114552629692,0.100038232657559,0.164205366004694,0.194530511880675,0.016121219314832,0.572908222602902
"22","100_1",-1.02488974215049,455.427251732101,207413.981620255,94461979.620125,-1.03405289767112,0.00916315552063418,0.270660748145122,0.19621655420194,0.00029277493669169,0.0561757783013057
"23","100_1",-1.19245103424193,479.445727482679,229868.205601395,110209329.059699,-0.969420466809723,-0.223030567432207,0.541163572244081,0.180234659952464,0.876232244261426,-1.72386907378774
"24","101_1",-4.14114339663892,0.552268244575856,0.305000213966897,0.168441932762759,-3.24692821129921,-0.894215185339715,0.212711533728111,0.344045028348206,0.343122204037445,-2.25385427110031
"25","101_1",-3.44865432732353,2.20907297830371,4.88000342347162,10.7802836968208,-3.02401748437037,-0.424636842953157,0.161047151033607,0.445466469422081,0.0515887215497391,-1.0368110850145
"26","101_1",-3.10054127764065,3.58974358974351,12.8862590401046,46.2583657849899,-2.8454433969794,-0.255097880661245,0.131127978905543,0.460916288837838,0.014133148562215,-0.612039822167268
"27","101_1",-2.60123891530164,4.69428007889536,22.0362654591138,103.444401957968,-2.70721419128308,0.105975275981444,0.11467926869969,0.467616146042862,0.00205463290873502,0.25188654835039
"28","101_1",-2.32239399846353,5.52268244575933,30.5000213966983,168.441932762829,-2.60620920882293,0.283815210359398,0.10622790878767,0.459261284959125,0.0133936167409652,0.671387124049409
"29","101_1",-2.14913197989849,6.62721893491116,43.920030811245,291.067659814164,-2.47505030142672,0.325918321528232,0.0995882828364998,0.456219553897974,0.0163149218994054,0.768137454948827
"30","101_1",-1.96299583272734,7.73175542406304,59.7800419375282,462.2046635012,-2.34786043328977,0.384864600562428,0.0976476021304516,0.451130197770363,0.0222109249315177,0.906088492153346
"31","101_1",-1.83892021123079,8.56015779092698,73.2763014055679,627.256702367185,-2.25504159430183,0.416121383071045,0.0989108761184849,0.448014508546688,0.0263748561981904,0.980362962301144
"32","101_1",-1.67053808664761,9.66469428007881,93.4063155273881,902.743483400784,-2.13467306527218,0.464134978624566,0.103765558718999,0.442602698151292,0.0347968595091952,1.09643835850205
"33","101_1",-0.902916542817759,23.7475345167652,563.945395624955,13392.3127481744,-0.917654658584918,0.0147381157671589,0.303830906041634,0.468937321597955,0.000170265978416467,0.0395034776538335
"34","101_1",-0.444718468193045,47.7712031558183,2282.08785095446,109018.08234737,0.0283703181337095,-0.473088786326754,0.421454181421225,0.425732277264595,0.352372199793024,-1.39099161018432
"35","101_1",-0.226840098319054,71.7948717948717,5154.50361604206,370066.926279943,0.00838726884083973,-0.235227367159894,0.328551157194664,0.460100791167497,0.0504190104630698,-0.64199569943077
"36","101_1",-0.278649315038048,95.818540433925,9181.19269088772,879728.483083482,-0.445329860519296,0.166680545481248,0.44593487862438,0.463593709665303,0.0504616125512739,0.500789532987656
"37","101_1",-0.511073292714105,119.842209072978,14362.1550754914,1721192.39129557,-0.800507124002454,0.289433831288349,0.447263152565751,0.452523554218181,0.153343846854002,0.87064441994961
"38","101_1",-0.685376842142935,144.14201183432,20776.9195756452,2994826.98735337,-0.515960641919794,-0.169416200223142,0.92725956319329,0.424824095975521,6.28927907604633,-1.40481042220087
"39","102_1",-4.31481788498046,0.0037136066547987,1.37908743865652e-05,5.12138828974414e-08,-3.08483394295142,-1.22998394202904,0.177378603422592,0.525945649491347,0.249838957978475,-2.15282863168352
"40","102_1",-3.72703122007833,0.840017825311946,0.705629946841811,0.592741733421042,-2.95011855006034,-0.776912670017985,0.152628494631954,0.608699848681261,0.080833682762446,-1.33981642011517
"41","102_1",-3.09104245335832,2.23484848484847,4.9945477502295,11.1620574721037,-2.73249207338963,-0.358550379968692,0.12074181611698,0.646289810637016,0.0126498474406891,-0.607018597964518
"42","102_1",-2.74620196706659,3.62893642305406,13.1691795625684,47.7901153763436,-2.52367167990366,-0.222530287162929,0.0992960124824392,0.65214515457763,0.00381861560306619,-0.372227200063541
"43","102_1",-2.31333788477031,3.63859180035652,13.2393502896217,48.1725914058652,-2.52225534975566,0.208917464985346,0.099180469919245,0.65256203716946,0.00336093503909028,0.349434572094123
"44","102_1",-1.99243016469021,4.76010101010101,22.6585616263647,107.857042085094,-2.36051711263332,0.368086947943112,0.0885806649407739,0.646132242281624,0.00910255570338775,0.612070317895867
"45","102_1",-1.7498685275189,5.8816102198455,34.593338778191,203.464534896386,-2.20422778138015,0.454359253861248,0.0831275940144255,0.641179854293883,0.0128613397113746,0.753277414698375
"46","102_1",-1.55480794494751,6.72534165181222,45.2302203336003,304.188684730206,-2.09019351666268,0.535385571715167,0.0820327151358747,0.635494945233889,0.0175802907393653,0.88708059891674
"47","102_1",-1.39165630426128,7.84685086155673,61.5730684435136,483.154685164676,-1.94326636456041,0.551610060299125,0.0840963913302518,0.634184982571196,0.0192177360759252,0.914992033944739
"48","102_1",-1.27029544725701,8.68909685086157,75.5004040836525,656.030323362041,-1.83637226345547,0.56607681619846,0.0879804603014947,0.632925955290199,0.0213544666714094,0.940986335677233
"49","102_1",-1.12023475268128,9.8128342245989,96.2917155194595,944.894641594693,-1.69829490672606,0.578060154044779,0.0958590368066112,0.631724973369466,0.024686918653658,0.96508370136588
"50","102_1",-0.352101765236768,23.8064468211527,566.746910248371,13492.2301798805,-0.383033574992761,0.030931809755993,0.297488408230351,0.65556188431644,0.000363357197896157,0.0585852925471907
"51","102_1",-0.329544417812694,47.9775698158051,2301.84720543045,110437.035003855,0.456668374810475,-0.786212792623169,0.403302898975092,0.586129848334,0.441127109750572,-1.61574626975489
"52","102_1",-0.25093253024304,72.1605763517528,5207.14877941714,375750.857072067,0.145924634183844,-0.396857164426885,0.326626310215762,0.640612219940209,0.0714771744507665,-0.767743543935674
"53","102_1",-0.300238291227194,96.316844919786,9276.93461530211,893525.072673048,-0.541941686108144,0.24170339488095,0.445747133765425,0.648915405095995,0.0534070036649822,0.51539333310736
"54","102_1",-0.289466194245282,120.207961972668,14449.9541216224,1736999.53555878,-0.837569598028336,0.548103403783054,0.434465896238857,0.620972932888931,0.257112469239525,1.15702600238182
"55","102_1",-0.314784002229572,144.09165181224,20762.4041219798,2991689.10552933,-0.00259636099103133,-0.312187641238541,0.92146709347187,0.571363559178673,9.17419463455706,-1.76847893313016
"56","103_1",-3.6346578999473,23.1237322515209,534.706993240028,12364.4213446982,-3.5268005350431,-0.107857364904202,0.440694768614761,0.0606213079319894,0.93361414630462,-2.17705399571262
"57","103_1",-3.25166564769119,46.2474645030424,2138.82797296017,98915.3707575895,-3.21107218821078,-0.0405934594804105,0.262559277316202,0.0669485723444473,0.0453224047325895,-0.7135696039906
"58","103_1",-2.94151071938735,71.8052738336711,5155.99735032849,370227.80162602,-2.89545069774814,-0.0460600216392151,0.159277642421313,0.0668546863755904,0.0272348871640017,-0.758301080609452
"59","103_1",-2.49256049933945,94.9290060851924,9011.51619632249,855454.275837508,-2.6384942950978,0.145933795758352,0.118504575669423,0.0594040607449519,0.185026712414125,2.34633318584142
"60","103_1",-2.26517065714378,118.052738336713,13936.4490287964,1645235.97053944,-2.40723135547125,0.142060698327468,0.10576218929113,0.0599836904701129,0.1520547335523,2.26772958711874
"61","103_1",-2.1232003958734,143.610547667343,20623.9894013142,2961822.41300821,-2.17979324641152,0.0565928505381152,0.10687757289796,0.066508276500917,0.0244464280484135,0.903961445000239
"62","103_1",-1.99890267919582,166.734279918864,27800.3201000621,4635266.35339777,-1.99794136480834,-0.000961314387481815,0.111632566835813,0.0676699292568552,7.44670614936433e-06,-0.015396179409812
"63","103_1",-1.83184859453266,191.075050709939,36509.6750038058,6976088.00275558,-1.82944506068239,-0.00240353385026837,0.11472533479946,0.0676681670425444,4.81760765295769e-05,-0.0385616013601855
"64","103_1",-1.64222773525709,214.19878296146,45881.1186221707,9827679.76977933,-1.68965860254721,0.0474308672901185,0.113726602750765,0.0668498374717106,0.0185556619077778,0.760538221611478
"65","103_1",-1.53868705631625,238.539553752535,56901.1187044585,13573167.4637816,-1.56226642217722,0.0235793658609664,0.108546478477942,0.0674696064902263,0.00432623643661033,0.376987199655562
"66","103_1",-1.53868705631625,262.88032454361,69106.0650321537,18166624.8035844,-1.45348988853642,-0.0851971677798284,0.100585390569916,0.0650260054198384,0.05141537724981,-1.35609159593177
"67","103_1",-1.43743332261108,287.221095334686,82495.9576052568,23694579.3040657,-1.36165890596762,-0.075774416643458,0.0919826425046374,0.0656074223494081,0.0364913948464879,-1.20038168918657
"68","103_1",-1.35227551427077,311.56186612576,97070.796423766,30243558.4801023,-1.28510337881363,-0.0671721354571422,0.0848984025353511,0.0660672845446064,0.0260595481864892,-1.05998161832453
"69","103_1",-1.29928298413026,334.685598377282,112014.449761159,37489623.1452156,-1.22500337459451,-0.0742796095357472,0.081123551179145,0.065712983328124,0.0301994905586361,-1.16972800458283
"70","103_1",-1.23676262714893,359.026369168357,128899.933758213,46278475.2032531,-1.17343137286535,-0.0633312542835764,0.0811439251419533,0.0662531509069982,0.021959623442209,-0.997328384704214
"71","103_1",-1.13322194820809,383.367139959432,146970.364000675,56343608.1057353,-1.13220804436225,-0.00101390384583633,0.0852449110265604,0.0676699024168832,5.96595556108065e-06,-0.0160025130089621
"72","103_1",-1.12235227597118,406.490872210953,165234.829190821,67166449.8374048,-1.10111019685918,-0.0212420791120047,0.0920648339126811,0.0675104192935872,0.00287081907310683,-0.336521982594516
"73","103_1",-1.04940327632502,430.831643002028,185615.904611827,79969205.1512211,-1.07526316851287,0.0258598921878537,0.100677551998511,0.0674309589359763,0.00474223289709464,0.411635506405763
"74","103_1",-1.0196981219111,453.955375253549,206075.48272159,93549073.0894359,-1.05575630025891,0.0360581783478149,0.108281251131618,0.0672002233437105,0.0100863193388761,0.57641287006903
"75","103_1",-1.02458810720529,479.513184584178,229932.89419006,110255854.333733,-1.03816468927504,0.0135765820697462,0.113778249007033,0.0676034140628289,0.00152118843333012,0.217702332632611
"76","103_1",-1.0003738490847,502.6369168357,252643.870166098,126988135.957727,-1.02427897091269,0.0239051218279873,0.114732992358036,0.0674625718457495,0.00476594871822802,0.383528513715718
"77","103_1",-0.940030719177228,528.194726166328,278989.668749922,147360871.6886,-1.00939300892889,0.0693622897516631,0.111347211624997,0.0659080811099184,0.0386446744227508,1.11071133284606
"78","103_1",-0.949080554697147,551.31845841785,303952.042592235,167574371.554907,-0.994782076960794,0.045701522263647,0.106567257082908,0.0669150425650251,0.0158850677223574,0.729866733555033
"79","103_1",-0.958213038260418,573.225152129817,328587.075034252,188354376.074401,-0.978594782836525,0.0203817445761066,0.105296242982946,0.0675209402774116,0.00311289694325475,0.325271161022895
"80","103_1",-0.935536329589389,600,360000,2.16e+08,-0.953904853145642,0.0183685235562527,0.119735161793284,0.0675470167924534,0.00297010070908815,0.295536692058806
