"","ID_no_Rep_dup","LogPopBio","Time","I(Time^2)",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"1","100_1",-3.52484051029261,3.69515011547344,13.6541343758834,-2.65855913670576,-0.866281373586846,0.206939265335615,0.309490685951551,0.595083948791385,-2.61566136716675
"2","100_1",-3.08991606718426,5.54272517321021,30.7218023457381,-2.62531794337956,-0.464598123804697,0.200709270040932,0.362456076519066,0.163434244122013,-1.39733593893534
"3","100_1",-2.59109892003378,9.23787528868354,85.33833984927,-2.55951696033168,-0.0315819597020961,0.188849532184202,0.381474825085728,0.00068995615571583,-0.0942896728830418
"4","100_1",-2.23205990880016,23.094688221709,533.364624057944,-2.3208549417058,0.0887950329056424,0.151046441546238,0.380918561095331,0.00398244928131842,0.259132849971578
"5","100_1",-1.64361026608351,47.1131639722862,2219.65021947953,-1.93743978618836,0.29382952010485,0.106992789885127,0.374832426133337,0.0279168047564532,0.836072056668558
"6","100_1",-1.13344762013205,71.1316397228637,5059.71016966328,-1.59241036705886,0.458962746926805,0.0841239483411538,0.365352933710186,0.0509133167595855,1.28954009521754
"7","100_1",-0.74536306725392,95.150115473441,9053.54447460916,-1.2857666843173,0.540403617063375,0.0761979672469611,0.359095600523582,0.0628423372843626,1.5118355590691
"8","100_1",-0.523385566601553,118.24480369515,13981.8336009046,-1.02711655586359,0.503730989262041,0.077681008273529,0.36208833054933,0.0558444690125171,1.41037258998291
"9","100_1",-0.376135036703001,143.187066974596,20502.5361487874,-0.787636527997996,0.411501491294995,0.0846717210274927,0.36857977073865,0.0412437105543539,1.1565348898612
"10","100_1",-0.375202501934371,167.205542725173,27957.6935180196,-0.596150054420263,0.220947552485892,0.0930524898565096,0.377829042784216,0.0133098254190612,0.623840957119909
"11","100_1",-0.401785972196305,191.22401847575,36566.625242014,-0.443049317230472,0.0412633450341669,0.100338187043892,0.381429091024001,0.000508705947432129,0.116977019995506
"12","100_1",-0.441458517292731,215.242494226328,46329.3313207708,-0.328334316428616,-0.113124200864115,0.104751796211292,0.380572490026714,0.00403102866844178,-0.321484146042319
"13","100_1",-0.436329149794986,239.260969976905,57245.8117542894,-0.252005052014708,-0.184324097780278,0.105409287638161,0.378931236595692,0.0107851109758761,-0.5240173780809
"14","100_1",-0.431225958497912,263.279445727483,69316.0665425707,-0.214061523988739,-0.217164434509173,0.102319618261754,0.377918927479186,0.014431887080407,-0.616316223362631
"15","100_1",-0.476393206267174,287.29792147806,82540.0956856135,-0.214503732350713,-0.261889473916461,0.0963847316771282,0.376288352407175,0.0195122559581972,-0.740801799215693
"16","100_1",-0.541911997077224,310.392609699769,96343.5721562331,-0.251128499188872,-0.290783497888352,0.089657944730129,0.375098914792242,0.0220469925584085,-0.819489170471283
"17","100_1",-0.672756038341508,335.334872979215,112449.477035986,-0.330545358238486,-0.342210680103022,0.0840520145524515,0.3726373185777,0.0282763857983154,-0.961465973298173
"18","100_1",-0.703317273819303,359.353348729792,129134.829243316,-0.446144775764284,-0.257172498055019,0.0839230044915229,0.376547388776499,0.0159402963785054,-0.722494092257695
"19","100_1",-0.815940436968373,382.448036951501,146266.500968057,-0.593497628336892,-0.222442808631481,0.0928772862858704,0.377778858963177,0.0134599811223175,-0.628002127076131
"20","100_1",-0.857499061812769,407.390300230947,165966.856722261,-0.79250081997971,-0.0649982418330587,0.118109132503804,0.381229096386815,0.00154627695783953,-0.186110104186103
"21","100_1",-0.941107293639364,431.408775981524,186113.531993877,-1.02325744666933,0.0821501530299679,0.164051011002945,0.381002445090117,0.00381826781959777,0.241598511272178
"22","100_1",-1.02488974215049,455.427251732101,207413.981620255,-1.29239980974689,0.267510067596405,0.238464903877711,0.375022609639832,0.070917785070242,0.824272735828452
"23","100_1",-1.19245103424193,479.445727482679,229868.205601395,-1.59992790921241,0.407476874970479,0.349396647985578,0.363532534451549,0.33031047843104,1.35837782742712
"24","101_1",-4.14114339663892,0.552268244575856,0.305000213966897,-2.89070385453062,-1.2504395421083,0.143654477424742,0.448328889266398,0.303501059347507,-2.32973039277842
"25","101_1",-3.44865432732353,2.20907297830371,4.88000342347162,-2.77773652182295,-0.670917805500581,0.128038899171737,0.565738145628989,0.0751103965786896,-1.23876305541557
"26","101_1",-3.10054127764065,3.58974358974351,12.8862590401046,-2.68523797271959,-0.415303304921062,0.117160588490824,0.59095593364536,0.0256899112239604,-0.762064995259435
"27","101_1",-2.60123891530164,4.69428007889536,22.0362654591138,-2.61231317368252,0.0110742583808761,0.109778066966462,0.605786216625609,1.68330189796763e-05,0.0202363876106761
"28","101_1",-2.32239399846353,5.52268244575933,30.5000213966983,-2.55824609788132,0.235852099417787,0.10497599181258,0.601115143968525,0.00722293687335981,0.429823232755504
"29","101_1",-2.14913197989849,6.62721893491116,43.920030811245,-2.48699202811521,0.337860048216718,0.0995106768731585,0.596209263565603,0.0138803345524017,0.613853926399236
"30","101_1",-1.96299583272734,7.73175542406304,59.7800419375282,-2.41669266078964,0.453696828062305,0.0950692365910531,0.588481736204124,0.0236785169300807,0.822291022995835
"31","101_1",-1.83892021123079,8.56015779092698,73.2763014055679,-2.36459465877208,0.525674447541291,0.092379421696868,0.582504365677312,0.030705347374276,0.951332168398352
"32","101_1",-1.67053808664761,9.66469428007881,93.4063155273881,-2.29596602071748,0.625427934069872,0.0896078934720183,0.572651169073914,0.0419042005870735,1.13013549451782
"33","101_1",-0.902916542817759,23.7475345167652,563.945395624955,-1.50463652132571,0.60171997850795,0.116327049745247,0.574231070166617,0.0534441487291853,1.10361128578493
"34","101_1",-0.444718468193045,47.7712031558183,2282.08785095446,-0.51291391486509,0.0681954466720446,0.262008928637536,0.605323533129069,0.00221686038541049,0.136866545817922
"35","101_1",-0.226840098319054,71.7948717948717,5154.50361604206,0.0271747683132024,-0.254014866632256,0.328359069828077,0.598544870483946,0.046537889928167,-0.53438965253581
"36","101_1",-0.278649315038048,95.818540433925,9181.19269088772,0.115629528209153,-0.394278843247201,0.274687598598886,0.589495520672558,0.0804284138200553,-0.798193900017286
"37","101_1",-0.511073292714105,119.842209072978,14362.1550754914,-0.247549635177228,-0.263523657536877,0.280866598483445,0.598506996903726,0.0373709468925069,-0.535774896986832
"38","101_1",-0.685376842142935,144.14201183432,20776.9195756452,-1.07435382122035,0.388976979077416,0.757575502207364,0.557001674181264,1.9325663857637,1.36208160917135
"39","102_1",-4.31481788498046,0.0037136066547987,1.37908743865652e-05,-2.60345882908001,-1.71135905590045,0.119487028352997,0.669959939800279,0.229925161915146,-2.25455781599358
"40","102_1",-3.72703122007833,0.840017825311946,0.705629946841811,-2.5484595610904,-1.17857165898793,0.112323109212242,0.764420062481438,0.100861694108244,-1.54638153487767
"41","102_1",-3.09104245335832,2.23484848484847,4.9945477502295,-2.45789069073265,-0.633151762625673,0.101903003072227,0.818761763609693,0.0257994897986486,-0.825913028178102
"42","102_1",-2.74620196706659,3.62893642305406,13.1691795625684,-2.36882140177794,-0.377380565288651,0.0933053882846198,0.83224054990585,0.00823376938484593,-0.489933495389081
"43","102_1",-2.31333788477031,3.63859180035652,13.2393502896217,-2.36820957218843,0.0548716874181183,0.0932519307391851,0.839315999345131,0.000173954700233534,0.0712349485235002
"44","102_1",-1.99243016469021,4.76010101010101,22.6585616263647,-2.29761677362459,0.305186608934378,0.087592216389513,0.834778079722977,0.00499198742303878,0.394965445092137
"45","102_1",-1.7498685275189,5.8816102198455,34.593338778191,-2.22796301352055,0.478094486001645,0.0829868483374661,0.827969176817041,0.0114905441344385,0.617183165285028
"46","102_1",-1.55480794494751,6.72534165181222,45.2302203336003,-2.17618021156547,0.62137226661796,0.0801855292170983,0.820010586086825,0.0186403575489373,0.80092134046427
"47","102_1",-1.39165630426128,7.84685086155673,61.5730684435136,-2.10817194534528,0.716515641084001,0.0773024967487905,0.813576236360658,0.0237454915032939,0.922112949927913
