"","ID_no_Rep_dup","LogPopBio","Time","(weights)",".fitted",".resid"
"1","1_1",-3.28671462813707,6.46651270207826,1,-2.15655976347534,-1.13015486466173
"2","1_1",-3.03347970762002,22.1709006928405,1,-2.15658872124573,-0.876890986374295
"3","1_1",-2.36821838818452,47.1131639722861,1,-2.15665479780569,-0.211563590378834
"4","1_1",-1.86342168712123,71.1316397228635,1,-2.15675261913862,0.293330932017385
"5","1_1",-1.73367359236372,95.150115473441,1,-2.15690187581936,0.423228283455638
"6","1_1",-1.79499796384657,119.168591224018,1,-2.1571296130096,0.362131649163032
"7","1_1",-1.82663306282588,143.187066974596,1,-2.15747709643938,0.330844033613499
"8","1_1",-1.93018835133133,168.129330254042,1,-2.15803249653413,0.227844145202803
"9","1_1",-1.92912797331328,191.224018475751,1,-2.15881626295936,0.229688289646083
"10","1_1",-1.92802637164269,215.242494226328,1,-2.16005060079465,0.232024229151958
"11","1_1",-2.00301096368469,239.260969976905,1,-2.16193396234235,0.158922998657656
"12","1_1",-2.10574283780825,263.279445727483,1,-2.16480760687682,0.0590647690685704
"13","1_1",-2.12654444646951,287.29792147806,1,-2.16919222643128,0.0426477799617682
"14","1_1",-2.17089527185019,311.316397228637,1,-2.17588228718614,0.00498701533595103
"15","1_1",-2.19311294929681,335.334872979215,1,-2.18608996843955,-0.00702298085726394
"16","1_1",-2.21583549006411,359.353348729792,1,-2.20166476741065,-0.014170722653462
"17","1_1",-2.31713227032692,383.37182448037,1,-2.22542853095251,-0.0917037393744069
"18","1_1",-2.31550889334703,407.390300230947,1,-2.26168654917524,-0.0538223441717922
"19","1_1",-2.34122829780267,431.408775981524,1,-2.31700715200759,-0.0242211457950794
"20","1_1",-2.36762669164184,455.427251732102,1,-2.40141067823947,0.0337839865976322
"21","1_1",-2.51912998612882,479.445727482679,1,-2.53018234317119,0.0110523570423711
"22","10_1",-4.32438643049407,1.1045364891518,1,-4.25781158233175,-0.0665748481623227
"23","10_1",-3.73655586647212,1.93293885601574,1,-3.86159890911728,0.125043042645164
"24","10_1",-3.36911815395319,3.31360946745559,1,-3.3371152037631,-0.0320029501900922
"25","10_1",-3.04362820078519,4.41814595660745,1,-3.01592675597025,-0.0277014448149377
