"","Predlifestage.feeding","intercept","slope","r.squared","f.statistic","p.value"
"1","adult_piscivorous",3.04230934042685,0.285409207488918,0.0762549666793181,1460.96633985589,3.21527852226076e-307
"2","adult_planktivorous",3.87815102648538,0.802761886290888,0.224199133583999,45.0825287172978,3.31771921399374e-10
"3","adult_predacious",3.35636234035414,0.321994355406031,0.146129065719437,1356.94671825977,2.36661210564926e-274
"4","adult_predacious/piscivorous",2.07757273211364,0.531028610582126,0.341154098535761,82.3310906945516,4.19117303972455e-16
"5","juvenile_piscivorous",3.78759705139129,0.223480124508157,0.0715818776775037,233.384440178493,8.16786748029422e-51
"6","juvenile_planktivorous",1.13499506432389,0.168911383542264,1,NA,NA
"7","juvenile_predacious",3.09872917399739,0.932339687360754,0.628987013196308,3560.17922469959,0
"8","larva / juvenile_insectivorous",0.41085561349436,0.384249046154572,0.125577629410638,4.3083628793485,0.0465944025225442
"9","larva / juvenile_piscivorous",2.15727970672255,0.652630804441673,0.502262057547569,9.08180416316188,0.0146301686798565
"10","larva / juvenile_planktivorous",2.20757509090594,0.537539976546298,0.2383099678989,36.9186611704769,1.55071505486177e-08
"11","larva / juvenile_predacious",1.56495875082157,0.51254314845205,0.423997091277262,357.009636853166,4.43552228318592e-60
"12","larva_planktivorous",-0.879153566846332,0.204221090759679,0.0876722735852068,98.3075854003907,3.454094379327e-22
"13","larva_predacious",0.621931166248396,0.323614384510346,0.114146688218641,155.914631584789,9.61358023701449e-34
"14","postlarva_piscivorous",-1.09766442150068,0.106773528674381,0.0389698693052271,1.25705314524184,0.270820006991041
"15","postlarva_predacious",-0.700843567967422,0.15403834606651,0.109207422360888,8.58170550266892,0.00458060708606848
"16","postlarva/juvenile_piscivorous",0.105293012452578,NA,0,NA,NA
"17","postlarva/juvenile_planktivorous",2.95889440474229,0.675479706794877,0.23123878538831,78.8080363840143,1.10590667174241e-16
"18","postlarva/juvenile_predacious",0.724032267841635,0.211649696643391,0.14416882005629,99.0513879135298,1.13623625842986e-21
